episode,type,classification,surface_spawns,air_spawns,top_spawns,unknown_spawns,levels,link_ids,conflict
1,54,air,0,5,0,0,4,142,0
1,55,air,0,5,0,0,4,142,0
1,56,air,0,5,0,0,4,42,0
1,57,air,0,5,0,0,4,42,0
1,58,air,0,5,0,0,4,142,0
1,59,air,0,5,0,0,4,141,0
1,60,air,0,5,0,0,4,141,0
1,61,air,0,5,0,0,4,42,0
1,62,air,0,5,0,0,4,42,0
1,63,air,0,5,0,0,4,142,0
1,64,air,0,5,0,0,4,141,0
1,65,air,0,5,0,0,4,141,0
1,66,,0,0,6,0,2,1,0
1,67,,0,0,6,0,2,1,0
1,68,,0,0,6,0,2,1,0
1,69,,0,0,6,0,2,1,0
1,70,,0,0,6,0,2,1,0
1,71,,0,0,6,0,2,1,0
1,72,,0,0,6,0,2,1,0
1,73,,0,0,6,0,2,2,0
1,74,,0,0,6,0,2,2,0
1,75,,0,0,6,0,2,2,0
1,76,,0,0,6,0,2,2,0
1,77,,0,0,6,0,2,2,0
1,78,,0,0,6,0,2,2,0
1,79,,0,0,6,0,2,2,0
1,121,surface,12,0,2,0,3,20;22;23;24;25;26;28,0
1,122,surface,12,0,2,0,3,20;22;23;24;25;26;28,0
1,123,surface,12,0,2,0,3,20;22;23;24;25;26;28,0
1,124,surface,12,0,2,0,3,20;22;23;24;25;26;28,0
1,125,surface,6,0,5,0,3,21;23;24;25;26;27,0
1,126,surface,6,0,5,0,3,21;23;24;25;26;27,0
1,127,surface,6,0,5,0,3,21;23;24;25;26;27,0
1,128,surface,6,0,5,0,3,21;23;24;25;26;27,0
1,138,,15,10,14,0,2,1;2;3;4;5;6;10;11;12;13;14,1
1,139,,15,10,14,0,2,1;2;3;4;5;6;10;11;12;13;14,1
1,140,,15,10,14,0,2,1;2;3;4;5;6;10;11;12;13;14,1
1,141,,15,10,14,0,2,1;2;3;4;5;6;10;11;12;13;14,1
1,142,surface,11,0,0,0,1,,0
1,143,surface,1,0,0,0,1,,0
1,145,surface,13,0,0,0,1,20;21;22;23;26;27;31;32;33;34;36,0
1,146,surface,13,0,0,0,1,20;21;22;23;26;27;31;32;33;34;36,0
1,162,surface,49,0,0,0,3,,0
1,163,air,0,81,10,0,3,1;2;3;4;5;6;7;8;9;10;11,0
1,164,,48,15,3,0,3,5;9;10;11;12;13;14;15;16;17;18;19;25;26;27;28,1
1,165,,4,54,0,0,2,1;2;3;4;5;6;7;8;9,1
1,166,air,0,15,0,0,2,1;2;3;4;5;6;7;8;9;11;12;13;14;15;19,0
1,167,air,0,14,0,0,2,1;2;3;4;5;6;7;8;9,0
1,168,air,0,8,0,0,1,19,0
1,169,air,0,8,0,0,2,1;2;3;4;6,0
1,170,air,0,2,0,0,1,4;7,0
1,171,surface,27,0,0,0,2,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0
1,172,surface,27,0,0,0,2,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0
1,173,surface,27,0,0,0,2,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37,0
1,194,surface,44,0,0,0,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17,0
1,197,surface,2,0,0,0,1,1;2,0
1,198,surface,5,0,0,0,1,1;2;3;4,0
1,226,air,0,27,0,0,1,1;2;3;6;7;8;9;10;11;12;13;14;15;16,0
1,227,air,0,27,0,0,1,1;2;3;6;7;8;9;10;11;12;13;14;15;16,0
1,228,,0,0,6,0,1,7;9;10;11,0
1,229,,0,0,6,0,1,7;9;10;11,0
1,230,,0,0,6,0,1,7;9;10;11,0
1,231,,0,0,6,0,1,7;9;10;11,0
1,232,,0,0,4,0,1,7;8;10,0
1,233,,0,0,4,0,1,7;8;10,0
1,234,,0,0,4,0,1,7;8;10,0
1,235,,0,0,4,0,1,7;8;10,0
1,237,surface,7,0,0,0,1,21;24;25;28;30;37;40,0
1,238,surface,7,0,0,0,1,21;24;25;28;30;37;40,0
1,239,surface,7,0,0,0,1,21;24;25;28;30;37;40,0
1,240,surface,7,0,0,0,1,21;24;25;28;30;37;40,0
1,241,air,0,3,0,0,1,1;2;3,0
1,242,air,0,3,0,0,1,1;2;3,0
1,243,air,0,3,0,0,1,1;2;3,0
1,244,air,0,3,0,0,1,1;2;3,0
1,245,surface,2,0,0,0,1,29;38,0
1,246,surface,2,0,0,0,1,29;38,0
1,247,surface,2,0,0,0,1,29;38,0
1,248,surface,2,0,0,0,1,29;38,0
1,249,surface,2,0,0,0,1,29;38,0
1,250,surface,2,0,0,0,1,29;38,0
1,251,surface,2,0,0,0,1,29;38,0
1,252,surface,2,0,0,0,1,35;39,0
1,253,surface,2,0,0,0,1,35;39,0
1,254,surface,2,0,0,0,1,35;39,0
1,255,surface,2,0,0,0,1,35;39,0
1,256,surface,2,0,0,0,1,35;39,0
1,257,surface,2,0,0,0,1,35;39,0
1,258,surface,2,0,0,0,1,35;39,0
1,259,air,0,32,0,0,1,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16,0
1,260,surface,3,0,0,0,1,14;16;18,0
1,269,surface,11,0,0,0,2,,0
1,270,surface,13,0,0,0,3,,0
1,271,surface,11,0,0,0,3,,0
1,272,surface,43,0,0,0,3,,0
1,273,surface,7,0,0,0,2,,0
1,275,surface,151,0,0,0,3,,0
1,276,surface,21,0,0,0,2,,0
1,282,air,0,4,94,0,3,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;21;24;27;31;34;40,0
1,283,air,0,4,0,0,1,1;2,0
1,284,surface,42,0,4,0,2,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19,0
1,285,,3,4,0,0,2,1;3;4;5;6,1
1,287,surface,10,0,0,0,2,22;23;24;25;26;28;30;31;34;35,0
1,288,surface,10,0,0,0,2,22;23;24;25;26;28;30;31;34;35,0
1,302,,0,0,11,0,2,8;9;109,0
1,303,,0,0,11,0,2,8;9;98;109,0
1,304,,0,0,11,0,2,8;9;98;109,0
1,305,,0,0,11,0,2,8;9;98;109,0
1,306,,0,0,11,0,2,8;9;98;109,0
1,307,,0,0,11,0,2,8;9;98;109,0
1,308,,0,0,11,0,2,8;9;98;109,0
1,309,surface,10,0,0,0,3,21;23;24;25;29;30;32;33;36;40,0
1,310,surface,10,0,0,0,3,21;23;24;25;29;30;32;33;36;40,0
1,311,surface,10,0,0,0,3,21;23;24;25;29;30;32;33;36;40,0
1,312,surface,10,0,0,0,3,21;23;24;25;29;30;32;33;36;40,0
1,313,surface,16,0,0,0,2,20;21;24;25;26;27;28;30;31;36;37;38;39,0
1,314,surface,16,0,0,0,2,20;21;24;25;26;27;28;30;31;36;37;38;39,0
1,315,surface,16,0,0,0,2,20;21;24;25;26;27;28;30;31;36;37;38;39,0
1,316,surface,16,0,0,0,2,20;21;24;25;26;27;28;30;31;36;37;38;39,0
1,325,surface,39,0,0,0,3,,0
1,326,surface,1,0,0,0,1,35,0
1,327,surface,1,0,0,0,1,35,0
1,328,surface,1,0,0,0,1,35,0
1,329,surface,1,0,0,0,1,35,0
1,330,surface,1,0,0,0,1,35,0
1,331,surface,1,0,0,0,1,35,0
1,332,surface,5,0,0,0,1,20;21;22;26;27,0
1,333,surface,5,0,0,0,1,20;21;22;26;27,0
1,334,surface,5,0,0,0,1,20;21;22;26;27,0
1,335,surface,5,0,0,0,1,20;21;22;26;27,0
1,336,surface,5,0,0,0,1,20;21;22;26;27,0
1,337,surface,5,0,0,0,1,20;21;22;26;27,0
1,338,surface,6,0,0,0,3,22;23;28;29;33,0
1,339,surface,6,0,0,0,3,22;23;28;29;33,0
1,340,surface,6,0,0,0,3,22;23;28;29;33,0
1,341,surface,6,0,0,0,3,22;23;28;29;33,0
1,342,surface,6,0,0,0,3,22;23;28;29;33,0
1,343,surface,2,0,0,0,2,32;34,0
1,344,surface,2,0,0,0,2,32;34,0
1,345,surface,2,0,0,0,2,32;34,0
1,346,surface,2,0,0,0,2,32;34,0
1,347,surface,2,0,0,0,2,32;34,0
1,348,surface,2,0,0,0,2,32;34,0
1,349,surface,31,0,0,0,3,10;11;254,0
1,350,surface,31,0,0,0,3,10;11;254,0
1,351,surface,31,0,0,0,3,10;11;254,0
1,352,surface,31,0,0,0,3,10;11;254,0
1,353,surface,31,0,0,0,3,10;11;254,0
1,354,surface,31,0,0,0,3,10;11;254,0
1,355,surface,31,0,0,0,3,10;11;254,0
1,356,surface,31,0,0,0,3,10;11;254,0
1,357,surface,31,0,0,0,3,10;11;254,0
1,358,surface,31,0,0,0,3,10;11;254,0
1,359,surface,31,0,0,0,3,10;11;254,0
1,360,surface,31,0,0,0,3,10;11;254,0
1,361,surface,31,0,0,0,3,10;11;254,0
1,362,surface,31,0,0,0,3,10;11;254,0
1,363,surface,31,0,0,0,3,10;11;254,0
1,364,surface,31,0,0,0,3,10;11;254,0
1,365,surface,31,0,0,0,3,10;11;254,0
1,394,air,0,3,0,0,1,,0
1,395,air,0,3,0,0,1,,0
1,396,surface,7,0,0,0,1,,0
1,397,surface,3,0,0,0,1,,0
1,400,air,0,1,0,0,1,10,0
1,401,air,0,1,0,0,1,10,0
1,402,air,0,1,0,0,1,10,0
1,403,air,0,1,0,0,1,10,0
1,404,air,0,1,0,0,1,10,0
1,405,air,0,1,0,0,1,10,0
1,406,air,0,1,0,0,1,10,0
1,407,air,0,1,0,0,1,10,0
1,408,air,0,1,0,0,1,10,0
1,409,air,0,1,0,0,1,10,0
1,410,air,0,1,0,0,1,10,0
1,411,air,0,1,0,0,1,10,0
1,440,,7,10,23,0,2,10;13;14;15;16;17;18;19,1
1,441,,7,10,23,0,2,10;13;14;15;16;17;18;19,1
1,442,,7,10,23,0,2,10;13;14;15;16;17;18;19,1
1,443,,7,10,23,0,2,10;13;14;15;16;17;18;19,1
1,444,surface,7,0,1,0,1,60;80,0
1,445,surface,7,0,1,0,1,60;80,0
1,446,surface,7,0,1,0,1,60;80,0
1,447,surface,7,0,1,0,1,60;80,0
1,448,surface,7,0,1,0,1,60;80,0
1,449,surface,7,0,1,0,1,60;80,0
1,450,surface,7,0,1,0,1,60;80,0
1,451,surface,7,0,1,0,1,60;80,0
1,452,surface,7,0,1,0,1,60;80,0
1,453,surface,7,0,1,0,1,60;80,0
1,456,surface,3,0,0,0,1,10,0
1,457,surface,2,0,0,0,1,18;19,0
1,459,air,0,2,0,0,1,18;19,0
1,461,surface,3,0,0,0,1,15;17;19,0
1,464,surface,108,0,0,0,1,41;43;61;63;64;81;82,0
1,465,surface,18,0,0,0,1,42;44;62;64;65;82;83,0
1,466,surface,12,0,0,0,1,41;42;43;44;81;82;83;84;121;122;123;124,0
1,467,surface,3,0,0,0,1,45;85;125,0
1,468,air,0,2,0,0,2,,0
1,469,air,0,2,0,0,2,,0
1,470,air,0,2,0,0,2,,0
1,471,air,0,2,0,0,2,,0
1,472,air,0,2,0,0,2,,0
1,473,air,0,2,0,0,2,,0
1,474,,0,0,50,0,1,1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19,0
1,475,surface,29,0,0,0,1,,0
1,477,surface,1,0,0,0,1,61,0
1,478,,0,0,21,0,1,1;2;3;4;5;6;8;9;10;11;12;13;14;15;16;17;18,0
1,480,,2,1,0,0,3,142,1
1,481,,2,1,0,0,3,142,1
1,482,,2,1,0,0,3,143,1
1,483,,2,1,0,0,3,143,1
1,484,,2,1,0,0,3,43,1
1,485,,2,1,0,0,3,43,1
1,486,,2,1,0,0,3,142,1
1,487,,2,1,0,0,3,142,1
1,488,,2,1,0,0,3,143,1
1,489,,2,1,0,0,3,143,1
1,490,,2,1,0,0,3,43,1
1,491,,2,1,0,0,3,43,1
1,492,,2,1,0,0,3,142,1
1,493,,2,1,0,0,3,143,1
1,494,,2,1,0,0,3,143,1
1,495,,2,1,0,0,3,143,1
1,496,,2,1,0,0,3,43,1
1,497,,2,1,0,0,3,143,1
1,498,,2,1,0,0,3,143,1
1,499,,2,1,0,0,3,143,1
1,500,surface,52,0,0,0,3,,0
1,503,surface,5,0,0,0,1,,0
1,514,surface,24,0,0,0,1,1;2;3;4;5;6;10;11;12;13;14;15;16;17;18,0
1,516,surface,2,0,1,0,3,22;29,0
1,517,surface,2,0,1,0,3,22;29,0
1,518,surface,2,0,1,0,3,22;29,0
1,519,surface,2,0,1,0,3,22;29,0
1,520,surface,2,0,1,0,3,22;29,0
1,521,surface,2,0,1,0,3,22;29,0
1,522,surface,2,0,0,0,2,30,0
1,523,surface,2,0,0,0,2,30,0
1,524,surface,2,0,0,0,2,30,0
1,525,surface,2,0,0,0,2,30,0
1,526,surface,2,0,0,0,2,30,0
1,527,surface,2,0,0,0,2,30,0
1,531,surface,22,0,0,0,1,1;2;10;11;12;13;14;15;16;17;18;19,0
1,536,surface,1,0,0,0,1,69,0
1,537,surface,1,0,0,0,1,69,0
1,538,surface,1,0,0,0,1,69,0
1,539,surface,1,0,0,0,1,69,0
1,540,surface,1,0,0,0,1,69,0
1,541,surface,1,0,0,0,1,69,0
1,542,surface,4,0,0,0,1,65;66;67;68,0
1,545,surface,13,0,93,0,2,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19;22;23;25;26;28;29;32;33;35;36,0
1,546,surface,1,0,0,0,1,45,0
1,547,surface,1,0,0,0,1,45,0
1,548,surface,1,0,0,0,1,45,0
1,549,surface,1,0,0,0,1,45,0
1,550,surface,1,0,0,0,1,44,0
1,552,surface,170,0,0,0,2,,0
1,553,surface,148,0,0,0,2,,0
1,554,surface,149,0,11,0,3,1;2;3;4;5;6;7;8,0
1,555,surface,17,0,4,0,2,1;4;9;10,0
1,559,air,0,7,0,0,1,10;11;12;13;41;61;81,0
1,564,surface,38,0,0,0,1,41;42;61;62;81;82;101;102,0
1,565,surface,24,0,0,0,2,5;50;70;90,0
1,566,surface,3,0,0,0,1,3,0
1,567,surface,35,0,0,0,2,5;6;7;8;9;10;12;50;70;90;110,0
1,568,surface,37,0,0,0,4,3;4;5;6;7;8;9;11;13;21;22;254,0
1,569,surface,23,0,0,0,3,4;5;6;7;8;9;253,0
1,570,surface,16,0,0,0,2,1;4;5;6;7;8;9,0
1,571,surface,16,0,0,0,2,1;4;5;6;7;8;9,0
1,572,surface,23,0,0,0,3,1;4;5;6;7;8;9,0
1,573,surface,9,0,0,0,2,16;17;18;19;99,0
1,574,surface,9,0,0,0,2,16;17;18;19;99,0
1,575,surface,9,0,0,0,2,16;17;18;19;99,0
1,576,surface,9,0,0,0,2,16;17;18;19;99,0
1,577,surface,1,0,0,0,1,,0
1,578,surface,1,0,0,0,1,9,0
1,579,surface,1,0,0,0,1,9,0
1,580,surface,1,0,0,0,1,7,0
1,581,surface,1,0,0,0,1,7,0
1,582,surface,19,0,0,0,1,3;4;5;6;7;8;9;10;11;12;13,0
1,583,surface,19,0,0,0,1,3;4;5;6;7;8;9;10;11;12;13,0
1,584,surface,19,0,0,0,1,3;4;5;6;7;8;9;10;11;12;13,0
1,585,surface,19,0,0,0,1,3;4;5;6;7;8;9;10;11;12;13,0
1,586,surface,13,0,0,0,1,2;3;4;5;7;8;10;11;21,0
1,587,surface,12,0,0,0,1,2;4;5;7;8;10;11;21,0
1,588,surface,19,0,0,0,1,3;4;5;7;8;10;11;21,0
1,589,surface,14,0,0,0,1,2;3;4;5;7;8;10;11;22,0
1,590,,1,13,0,0,1,3;4;9;16;17;18;19,1
1,593,surface,1,0,0,0,1,,0
1,602,surface,1,0,0,0,1,,0
1,603,surface,1,0,0,0,1,,0
1,608,surface,1,0,0,0,1,,0
1,611,surface,1,0,0,0,1,,0
1,612,surface,1,0,0,0,1,,0
1,615,surface,1,0,0,0,1,,0
1,625,surface,1,0,0,0,1,,0
1,681,,0,0,10,0,1,1;2;3;4;5;11;12;13;14;15,0
1,701,,0,0,9,0,1,1;4;6;8;9;10;11;15;19,0
1,822,,0,0,104,0,1,1;2;3;4;5;6;7;8;11;12;13;14;15;16;17;18,0
1,824,air,0,72,0,0,2,1;2;3;4;5;6;7;8;9;11;12;13;14;15;16;17;18;19,0
1,837,surface,208,0,0,0,1,,0
1,838,surface,34,0,0,0,1,,0
1,840,surface,29,0,0,0,1,,0
1,841,,0,0,18,0,1,1;2;3;4;5;6;7;8;9;10;11;12;13,0
1,842,surface,26,0,0,0,1,1;2;3;4;5;6;7;8;9,0
1,845,surface,119,0,0,0,1,,0
1,846,surface,74,0,0,0,1,,0
1,847,surface,22,0,0,0,1,,0
1,848,surface,3,0,0,0,1,,0
1,849,surface,614,0,0,0,1,,0
2,4,surface,8,0,0,0,1,16;17,0
2,16,surface,16,0,0,0,1,1;2;3;4;6;7;8;9,0
2,17,surface,10,0,0,0,1,12;13;14;15,0
2,147,air,0,108,0,0,2,1;2;3;4;5;6;7;8;11;12;13;14;15;16;17;18;21;22;23;24;25;26;41;42;43;44;45;46;61;62;63;64;65;66;81;82;83;84;85;86,0
2,153,air,0,16,0,0,1,,0
2,154,air,0,5,0,0,1,22;23;24;27;31,0
2,155,air,0,5,0,0,1,22;23;24;27;31,0
2,156,air,0,5,0,0,1,22;23;24;27;31,0
2,157,air,0,5,0,0,1,22;23;24;27;31,0
2,158,air,0,7,0,0,1,20;21;25;26;28;29;30,0
2,159,air,0,7,0,0,1,20;21;25;26;28;29;30,0
2,160,air,0,7,0,0,1,20;21;25;26;28;29;30,0
2,161,air,0,7,0,0,1,20;21;25;26;28;29;30,0
2,174,surface,5,0,0,0,1,109,0
2,175,surface,6,0,0,0,1,109,0
2,176,surface,2,0,0,0,1,109,0
2,177,surface,5,0,0,0,1,10,0
2,178,surface,6,0,0,0,1,10,0
2,179,surface,2,0,0,0,1,10,0
2,180,surface,1,0,0,0,1,109,0
2,181,surface,1,0,0,0,1,109,0
2,182,surface,1,0,0,0,1,10,0
2,183,surface,1,0,0,0,1,10,0
2,184,air,0,38,0,0,2,10;19,0
2,186,,0,0,8,0,1,,0
2,187,,0,0,8,0,1,,0
2,188,,0,0,4,0,1,,0
2,189,,0,0,10,0,2,1;5,0
2,190,,0,0,16,0,2,1;2;3;4;5;6,0
2,191,,0,0,28,0,2,2;3;4;6;7;8,0
2,269,surface,5,0,0,0,1,,0
2,270,surface,77,0,0,0,1,,0
2,271,surface,16,0,0,0,1,,0
2,272,surface,35,0,0,0,1,,0
2,273,surface,6,0,0,0,1,,0
2,275,surface,7,0,0,0,1,,0
2,276,surface,26,0,0,0,1,,0
2,282,air,0,60,0,0,1,,0
2,287,surface,5,0,0,0,1,22;24;25;27;28,0
2,288,surface,5,0,0,0,1,22;24;25;27;28,0
2,309,surface,3,0,0,0,1,28;38;39,0
2,310,surface,3,0,0,0,1,28;38;39,0
2,311,surface,3,0,0,0,1,28;38;39,0
2,312,surface,3,0,0,0,1,28;38;39,0
2,313,surface,12,0,0,0,1,21;22;23;24;30;31;33;34;36;37;40,0
2,314,surface,12,0,0,0,1,21;22;23;24;30;31;33;34;36;37;40,0
2,315,surface,12,0,0,0,1,21;22;23;24;30;31;33;34;36;37;40,0
2,316,surface,12,0,0,0,1,21;22;23;24;30;31;33;34;36;37;40,0
2,325,surface,22,0,0,0,1,,0
2,326,surface,1,0,0,0,1,26,0
2,327,surface,1,0,0,0,1,26,0
2,328,surface,1,0,0,0,1,26,0
2,329,surface,1,0,0,0,1,26,0
2,330,surface,1,0,0,0,1,26,0
2,331,surface,1,0,0,0,1,26,0
2,338,surface,6,0,0,0,1,20;23;26;29;32;35,0
2,339,surface,6,0,0,0,1,20;23;26;29;32;35,0
2,340,surface,6,0,0,0,1,20;23;26;29;32;35,0
2,341,surface,6,0,0,0,1,20;23;26;29;32;35,0
2,342,surface,6,0,0,0,1,20;23;26;29;32;35,0
2,343,surface,2,0,0,0,1,25;27,0
2,344,surface,2,0,0,0,1,25;27,0
2,345,surface,2,0,0,0,1,25;27,0
2,346,surface,2,0,0,0,1,25;27,0
2,347,surface,2,0,0,0,1,25;27,0
2,348,surface,2,0,0,0,1,25;27,0
2,366,air,0,1,0,0,1,110,0
2,367,air,0,1,0,0,1,110,0
2,368,air,0,1,0,0,1,110,0
2,369,air,0,1,0,0,1,110,0
2,370,air,0,1,0,0,1,110,0
2,371,air,0,1,0,0,1,110,0
2,372,air,0,1,0,0,1,110,0
2,373,air,0,1,0,0,1,110,0
2,374,air,0,1,0,0,1,110,0
2,375,air,0,1,0,0,1,110,0
2,376,air,0,1,0,0,1,110,0
2,377,air,0,1,0,0,1,110,0
2,378,air,0,1,0,0,1,110,0
2,379,air,0,1,0,0,1,110,0
2,380,air,0,1,0,0,1,110,0
2,381,air,0,1,0,0,1,110,0
2,382,air,0,1,0,0,1,110,0
2,383,air,0,1,0,0,1,110,0
2,384,air,0,1,0,0,1,110,0
2,385,air,0,1,0,0,1,110,0
2,386,air,0,1,0,0,1,110,0
2,387,air,0,1,0,0,1,110,0
2,388,air,0,1,0,0,1,110,0
2,389,air,0,1,0,0,1,110,0
2,394,surface,23,0,0,0,1,,0
2,396,surface,35,0,0,0,1,,0
2,397,surface,3,0,0,0,1,,0
2,412,air,0,1,1,0,1,70,0
2,413,air,0,1,1,0,1,70,0
2,414,air,0,1,1,0,1,70,0
2,415,air,0,1,1,0,1,70,0
2,416,air,0,1,1,0,1,70,0
2,417,air,0,1,1,0,1,70,0
2,418,air,0,1,1,0,1,70,0
2,419,air,0,1,1,0,1,70,0
2,420,air,0,1,1,0,1,70,0
2,421,air,0,1,1,0,1,70,0
2,422,air,0,1,13,0,1,100;120;140;160;180,0
2,423,air,0,1,13,0,1,100;120;140;160;180,0
2,424,air,0,5,65,0,1,101;102;103;104;105;121;122;123;124;125;141;142;143;144;145;161;162;163;164;165;181;182;183;184;185,0
2,425,air,0,1,13,0,1,106;126;146;166;186,0
2,480,surface,1,0,0,0,1,142,0
2,481,surface,1,0,0,0,1,142,0
2,482,surface,1,0,0,0,1,143,0
2,483,surface,1,0,0,0,1,143,0
2,484,surface,1,0,0,0,1,43,0
2,485,surface,1,0,0,0,1,43,0
2,486,surface,1,0,0,0,1,142,0
2,487,surface,1,0,0,0,1,142,0
2,488,surface,1,0,0,0,1,143,0
2,489,surface,1,0,0,0,1,143,0
2,490,surface,1,0,0,0,1,43,0
2,491,surface,1,0,0,0,1,43,0
2,492,surface,1,0,0,0,1,142,0
2,493,surface,1,0,0,0,1,143,0
2,494,surface,1,0,0,0,1,143,0
2,495,surface,1,0,0,0,1,143,0
2,496,surface,1,0,0,0,1,43,0
2,497,surface,1,0,0,0,1,143,0
2,498,surface,1,0,0,0,1,143,0
2,499,surface,1,0,0,0,1,143,0
2,531,air,0,39,0,0,1,1;2;3;4;5;6;7;8;9,0
2,568,surface,4,0,0,0,1,,0
2,682,surface,8,0,0,0,1,10;11;12;13;14;15;16;17,0
2,683,surface,8,0,0,0,1,10;11;12;13;14;15;16;17,0
2,684,surface,8,0,0,0,1,10;11;12;13;14;15;16;17,0
2,685,surface,7,0,0,0,1,10;12;13;14;15;16;17,0
2,686,surface,10,0,0,0,2,6;7;8;9,0
2,690,air,0,1,0,0,1,201,0
2,739,surface,17,0,0,0,2,,0
2,740,surface,23,0,0,0,2,,0
2,741,surface,17,0,0,0,2,,0
2,742,surface,17,0,0,0,2,,0
2,743,surface,23,0,0,0,2,,0
2,744,surface,17,0,0,0,2,,0
2,745,surface,19,0,0,0,2,20;21;23;25;26;27;28;29;30;31;32;35;36;37,0
2,746,surface,19,0,0,0,2,20;21;23;25;26;27;28;29;30;31;32;35;36;37,0
2,747,surface,19,0,0,0,2,20;21;23;25;26;27;28;29;30;31;32;35;36;37,0
2,748,surface,19,0,0,0,2,20;21;23;25;26;27;28;29;30;31;32;35;36;37,0
2,749,surface,18,0,0,0,2,,0
2,750,surface,45,0,0,0,3,,0
2,751,surface,14,0,0,0,1,,0
2,753,surface,33,0,0,0,4,21;22;23;24;25;27;28;29;30;31;33;34;35;36;37,0
2,754,surface,33,0,0,0,4,21;22;23;24;25;27;28;29;30;31;33;34;35;36;37,0
2,756,surface,37,0,0,0,4,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;38;39,0
2,757,surface,37,0,0,0,4,20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;38;39,0
2,758,surface,63,0,0,0,4,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,0
2,759,surface,63,0,0,0,4,21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40,0
2,760,surface,1,0,0,0,1,1,0
2,761,surface,7,0,0,0,1,1;11;15;16;17;18;19,0
2,763,surface,14,0,0,0,3,20;21;22;24;26;27;28;31;32;33;34;40,0
2,764,surface,14,0,0,0,3,20;21;22;24;26;27;28;31;32;33;34;40,0
